hex_id,lat,lng,district,ndvi,ndvi_trend_3y,lst_c,pop_density,built_density,road_density,dist_road_m,impervious,elevation_m,landuse,structural_component,behavioural_component,eco_risk_true,high_risk_true,rep_count,rep_sev_mean,rep_sev_max,rep_trust_sum,rep_verified_share,rep_uniq_users,rep_behav_share,rep_late_share
H00000,43.14,76.78,Алмалы,0.367,-0.003,20.7,1727.0,0.048,0.251,284.0,0.062,1526.0,Парк/сквер,-2.216,-1.167,3.484,0,1.0,3.0,3.0,0.15,1.0,1.0,1.0,1.0
H00001,43.14,76.78749813170916,Алмалы,0.457,-0.001,20.4,898.0,0.051,0.253,313.0,0.112,1494.0,Парк/сквер,-3.014,-1.573,2.027,0,3.0,3.0,4.0,1.5470000000000002,0.6666666666666666,2.0,0.3333333333333333,1.0
H00002,43.14,76.79499626341831,Алмалы,0.46,0.029,20.6,1658.0,0.055,0.255,316.0,0.02,1525.0,Коммерческая,-4.054,0.449,2.869,0,19.0,2.8421052631578947,5.0,10.143,0.47368421052631576,18.0,0.8421052631578947,0.5789473684210527
H00003,43.14,76.80249439512747,Алмалы,0.457,0.016,21.6,2450.0,0.06,0.259,288.0,0.02,1523.0,Парк/сквер,-3.402,-2.583,2.873,0,1.0,5.0,5.0,0.415,1.0,1.0,1.0,1.0
H00004,43.14,76.80999252683662,Алмалы,0.523,0.012,19.9,2123.0,0.067,0.262,288.0,0.087,1540.0,Парк/сквер,-3.842,-0.829,2.452,0,1.0,1.0,1.0,0.536,0.0,1.0,1.0,0.0
H00005,43.14,76.81749065854578,Алмалы,0.478,0.003,20.5,2675.0,0.074,0.267,205.0,0.087,1586.0,Транспорт,-2.798,-0.206,3.737,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H00006,43.14,76.82498879025493,Алмалы,0.466,0.007,20.3,4069.0,0.082,0.271,258.0,0.02,1546.0,Жилая,-3.19,-1.057,2.022,0,6.0,2.1666666666666665,3.0,4.171,0.6666666666666666,6.0,0.8333333333333334,0.6666666666666666
H00007,43.14,76.83248692196409,Алмалы,0.558,0.012,20.5,4697.0,0.091,0.276,210.0,0.099,1547.0,Жилая,-3.603,-0.814,2.675,0,2.0,2.0,3.0,1.388,0.5,2.0,1.0,0.5
H00008,43.14,76.83998505367325,Алмалы,0.558,-0.005,20.2,2665.0,0.099,0.28,250.0,0.02,1599.0,Парк/сквер,-3.502,-0.687,2.882,0,2.0,3.0,4.0,1.3330000000000002,0.5,2.0,0.5,1.0
H00009,43.14,76.8474831853824,Алмалы,0.425,0.035,20.9,4933.0,0.107,0.283,224.0,0.079,1557.0,Транспорт,-3.2,-0.262,3.227,0,3.0,2.3333333333333335,3.0,0.777,0.6666666666666666,3.0,1.0,1.0
H00010,43.14,76.85498131709156,Алмалы,0.447,0.012,23.1,4447.0,0.115,0.285,297.0,0.159,1575.0,Промышленная,-2.527,1.546,5.034,0,55.0,3.418181818181818,5.0,32.853,0.6909090909090909,51.0,0.8909090909090909,0.6545454545454545
H00011,43.14,76.86247944880071,Алмалы,0.551,0.022,20.5,3779.0,0.121,0.286,248.0,0.087,1589.0,Парк/сквер,-3.916,0.87,4.522,0,27.0,3.185185185185185,5.0,12.703,0.6666666666666666,26.0,0.8148148148148148,0.7037037037037037
H00012,43.14,76.86997758050987,Алмалы,0.481,-0.006,21.2,4713.0,0.126,0.286,269.0,0.089,1596.0,Жилая,-2.562,0.632,4.29,0,16.0,3.5,5.0,8.819,0.5625,13.0,0.75,0.6875
