report_id,hex_id,district,lat,lng,category,severity,user_id,user_trust,verified,date,month
R000000,H00000,Алмалы,43.14,76.78,Сломанная скамейка/фонарь,3,U01173,0.15,1,2027-05-31,2027-05
R000001,H00001,Алмалы,43.14,76.7875,Стихийная свалка,4,U04274,0.334,1,2027-04-29,2027-04
R000002,H00001,Алмалы,43.14,76.7875,Отсутствие озеленения,4,U04658,0.879,1,2027-05-04,2027-05
R000003,H00001,Алмалы,43.14,76.7875,Подтопление,1,U04274,0.334,0,2027-02-05,2027-02
R000004,H00002,Алмалы,43.14,76.795,Подтопление,1,U00796,0.453,0,2027-01-12,2027-01
R000005,H00002,Алмалы,43.14,76.795,Переполненный бак,3,U00279,0.15,1,2027-05-21,2027-05
R000006,H00002,Алмалы,43.14,76.795,Пень / вырубка,3,U02277,0.702,0,2027-01-06,2027-01
R000007,H00002,Алмалы,43.14,76.795,Асфальтированный газон,3,U05179,0.822,1,2027-03-30,2027-03
R000008,H00002,Алмалы,43.14,76.795,Засохшее дерево,3,U02710,0.672,0,2027-02-01,2027-02
R000009,H00002,Алмалы,43.14,76.795,Стихийная свалка,5,U02577,0.551,0,2027-03-22,2027-03
R000010,H00002,Алмалы,43.14,76.795,Загрязнённый арык,1,U04446,0.235,0,2027-03-07,2027-03
R000011,H00002,Алмалы,43.14,76.795,Пень / вырубка,4,U00758,0.661,0,2027-02-23,2027-02
R000012,H00002,Алмалы,43.14,76.795,Асфальтированный газон,1,U00215,0.15,0,2027-03-30,2027-03
R000013,H00002,Алмалы,43.14,76.795,Парковка на газоне,3,U03610,0.776,1,2026-12-29,2026-12
R000014,H00002,Алмалы,43.14,76.795,Пень / вырубка,1,U02277,0.702,1,2027-01-05,2027-01
R000015,H00002,Алмалы,43.14,76.795,Пень / вырубка,2,U03130,0.553,1,2027-01-23,2027-01
R000016,H00002,Алмалы,43.14,76.795,Хорошее место,1,U01994,0.319,1,2027-04-03,2027-04
R000017,H00002,Алмалы,43.14,76.795,Дымящая труба,4,U00862,0.488,1,2027-01-19,2027-01
R000018,H00002,Алмалы,43.14,76.795,Хорошее место,3,U00270,0.667,0,2027-03-18,2027-03
R000019,H00002,Алмалы,43.14,76.795,Парковка на газоне,4,U04495,0.828,0,2027-05-05,2027-05
R000020,H00002,Алмалы,43.14,76.795,Пень / вырубка,5,U02219,0.828,1,2027-03-06,2027-03
R000021,H00002,Алмалы,43.14,76.795,Засохшее дерево,3,U02470,0.15,0,2027-01-01,2027-01
R000022,H00002,Алмалы,43.14,76.795,Загрязнённый арык,4,U05154,0.436,1,2026-12-28,2026-12
R000023,H00003,Алмалы,43.14,76.80249,Асфальтированный газон,5,U03685,0.415,1,2027-04-10,2027-04
R000024,H00004,Алмалы,43.14,76.80999,Сломанная скамейка/фонарь,1,U01331,0.536,0,2026-11-10,2026-11
R000025,H00006,Алмалы,43.14,76.82499,Сломанная скамейка/фонарь,1,U00435,0.614,0,2027-03-22,2027-03
R000026,H00006,Алмалы,43.14,76.82499,Пень / вырубка,3,U02710,0.672,1,2027-04-17,2027-04
R000027,H00006,Алмалы,43.14,76.82499,Загрязнённый арык,2,U00678,0.828,1,2027-01-01,2027-01
R000028,H00006,Алмалы,43.14,76.82499,Хорошее место,3,U04335,0.687,1,2027-02-06,2027-02
R000029,H00006,Алмалы,43.14,76.82499,Сломанная скамейка/фонарь,1,U02009,0.814,1,2027-02-13,2027-02
R000030,H00006,Алмалы,43.14,76.82499,Парковка на газоне,3,U03229,0.556,0,2027-01-27,2027-01
R000031,H00007,Алмалы,43.14,76.83249,Сломанная скамейка/фонарь,3,U02452,0.632,1,2027-03-05,2027-03
R000032,H00007,Алмалы,43.14,76.83249,Сломанная скамейка/фонарь,1,U00845,0.756,0,2027-01-04,2027-01
R000033,H00008,Алмалы,43.14,76.83999,Парковка на газоне,4,U01272,0.777,1,2027-05-14,2027-05
R000034,H00008,Алмалы,43.14,76.83999,Хорошее место,2,U04232,0.556,0,2027-03-07,2027-03
R000035,H00009,Алмалы,43.14,76.84748,Переполненный бак,2,U01469,0.334,1,2027-02-05,2027-02
R000036,H00009,Алмалы,43.14,76.84748,Сломанная скамейка/фонарь,3,U00279,0.15,1,2027-05-19,2027-05
R000037,H00009,Алмалы,43.14,76.84748,Загрязнённый арык,2,U00574,0.293,0,2027-05-30,2027-05
R000038,H00010,Алмалы,43.14,76.85498,Загрязнённый арык,3,U02411,0.848,1,2026-10-19,2026-10
R000039,H00010,Алмалы,43.14,76.85498,Отсутствие озеленения,3,U02728,0.938,1,2027-02-08,2027-02
R000040,H00010,Алмалы,43.14,76.85498,Стихийная свалка,5,U02407,0.911,0,2027-03-19,2027-03
R000041,H00010,Алмалы,43.14,76.85498,Подтопление,5,U01450,0.596,0,2026-12-12,2026-12
R000042,H00010,Алмалы,43.14,76.85498,Засохшее дерево,4,U04957,0.924,1,2026-12-11,2026-12
R000043,H00010,Алмалы,43.14,76.85498,Парковка на газоне,2,U01855,0.581,1,2027-04-02,2027-04
R000044,H00010,Алмалы,43.14,76.85498,Переполненный бак,3,U04232,0.556,1,2027-05-07,2027-05
R000045,H00010,Алмалы,43.14,76.85498,Парковка на газоне,5,U00387,0.379,1,2026-11-21,2026-11
R000046,H00010,Алмалы,43.14,76.85498,Переполненный бак,1,U01272,0.777,1,2027-04-26,2027-04
R000047,H00010,Алмалы,43.14,76.85498,Переполненный бак,4,U01014,0.777,0,2027-03-20,2027-03
R000048,H00010,Алмалы,43.14,76.85498,Стихийная свалка,4,U03517,0.28,0,2027-05-19,2027-05
R000049,H00010,Алмалы,43.14,76.85498,Стихийная свалка,5,U01091,0.97,1,2027-01-15,2027-01
R000050,H00010,Алмалы,43.14,76.85498,Засохшее дерево,2,U04198,0.808,1,2027-01-03,2027-01
R000051,H00010,Алмалы,43.14,76.85498,Пень / вырубка,4,U03333,0.785,1,2027-06-07,2027-06
R000052,H00010,Алмалы,43.14,76.85498,Стихийная свалка,3,U02257,0.677,1,2026-10-13,2026-10
R000053,H00010,Алмалы,43.14,76.85498,Стихийная свалка,5,U01331,0.536,1,2026-11-27,2026-11
R000054,H00010,Алмалы,43.14,76.85498,Хорошее место,4,U02123,0.476,1,2027-04-07,2027-04
R000055,H00010,Алмалы,43.14,76.85498,Переполненный бак,1,U02898,0.364,1,2027-05-17,2027-05
R000056,H00010,Алмалы,43.14,76.85498,Дымящая труба,5,U03667,0.15,0,2027-06-05,2027-06
R000057,H00010,Алмалы,43.14,76.85498,Переполненный бак,2,U00811,0.38,0,2027-05-17,2027-05
R000058,H00010,Алмалы,43.14,76.85498,Асфальтированный газон,5,U00337,0.817,1,2027-04-26,2027-04
R000059,H00010,Алмалы,43.14,76.85498,Парковка на газоне,2,U03759,0.578,1,2027-05-07,2027-05
R000060,H00010,Алмалы,43.14,76.85498,Загрязнённый арык,2,U03062,0.205,0,2026-12-07,2026-12
R000061,H00010,Алмалы,43.14,76.85498,Дымящая труба,5,U01937,0.669,1,2027-01-21,2027-01
R000062,H00010,Алмалы,43.14,76.85498,Асфальтированный газон,3,U04314,0.825,1,2026-09-29,2026-09
R000063,H00010,Алмалы,43.14,76.85498,Сломанная скамейка/фонарь,4,U03488,0.361,1,2027-03-22,2027-03
R000064,H00010,Алмалы,43.14,76.85498,Переполненный бак,3,U00231,0.734,0,2027-02-26,2027-02
